#LIBRARY    ENDF/B-VII.1
#REACTION   HE-3(T,D`)HE-4-L0,SIG
#NUCLEUS    He-3
#MF         3
#MT         650
#EN-MIN     1000
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1000        0            Lin-Lin
 2000        2.8141E-31   Lin-Lin
 4000        8.3636E-22   Lin-Lin
 6000        1.1911E-17   Lin-Lin
 8000        3.4018E-15   Lin-Lin
 10000       1.5693E-13   Lin-Lin
 12000       2.6071E-12   Lin-Lin
 14000       2.2862E-11   Lin-Lin
 14966.6     5.54462E-11  Lin-Lin
 15474.7     8.53351E-11  Lin-Lin
 15604.4     9.49331E-11  Lin-Lin
 15702.4     1.02801E-10  Lin-Lin
 15776.2     1.09108E-10  Lin-Lin
 15887.7     1.19268E-10  Lin-Lin
 16000       1.3033E-10   Lin-Lin
 16118.2     1.42938E-10  Lin-Lin
 16229.8     1.55811E-10  Lin-Lin
 16335.2     1.68882E-10  Lin-Lin
 16434.6     1.82083E-10  Lin-Lin
 16528.3     1.95351E-10  Lin-Lin
 16658.2     2.15141E-10  Lin-Lin
 16778.3     2.34975E-10  Lin-Lin
 16886.9     2.54265E-10  Lin-Lin
 16987.2     2.73288E-10  Lin-Lin
 17110.6     2.98402E-10  Lin-Lin
 17219.3     3.22171E-10  Lin-Lin
 17359.9     3.55334E-10  Lin-Lin
 17438.6     3.75187E-10  Lin-Lin
 17577.3     4.12505E-10  Lin-Lin
 17721.5     4.54686E-10  Lin-Lin
 17820.5     4.85774E-10  Lin-Lin
 17940       5.25759E-10  Lin-Lin
 18059.4     5.68539E-10  Lin-Lin
 18174.9     6.12788E-10  Lin-Lin
 18284       6.57239E-10  Lin-Lin
 18436.7     7.24217E-10  Lin-Lin
 18575       7.89867E-10  Lin-Lin
 18702.7     8.55062E-10  Lin-Lin
 18855.2     9.38932E-10  Lin-Lin
 18994.7     1.02176E-09  Lin-Lin
 19117.5     1.09989E-09  Lin-Lin
 19276.3     1.20853E-09  Lin-Lin
 19365.3     1.27338E-09  Lin-Lin
 19522.1     1.3949E-09   Lin-Lin
 19685.1     1.53173E-09  Lin-Lin
 19797       1.63225E-09  Lin-Lin
 19932.1     1.76117E-09  Lin-Lin
 20069.9     1.9015E-09   Lin-Lin
 20208.1     2.05186E-09  Lin-Lin
 20342.9     2.20826E-09  Lin-Lin
 20474.4     2.37052E-09  Lin-Lin
 20602.6     2.53847E-09  Lin-Lin
 20789.2     2.80133E-09  Lin-Lin
 20967.9     3.07438E-09  Lin-Lin
 21140.5     3.35969E-09  Lin-Lin
 21305.6     3.65339E-09  Lin-Lin
 21465.1     3.95766E-09  Lin-Lin
 21617.4     4.26835E-09  Lin-Lin
 21764.4     4.58777E-09  Lin-Lin
 21953.8     5.02905E-09  Lin-Lin
 22132.8     5.47906E-09  Lin-Lin
 22301.9     5.9354E-09   Lin-Lin
 22461.7     6.39575E-09  Lin-Lin
 22612.5     6.85788E-09  Lin-Lin
 22824       7.55361E-09  Lin-Lin
 23015.6     8.23488E-09  Lin-Lin
 23192.8     8.91081E-09  Lin-Lin
 23411.3     9.80879E-09  Lin-Lin
 23604.3     1.06641E-08  Lin-Lin
 23774.4     1.147E-08    Lin-Lin
 23990.1     1.25655E-08  Lin-Lin
 24172.1     1.35578E-08  Lin-Lin
 24376.5     1.47497E-08  Lin-Lin
 24597.4     1.61365E-08  Lin-Lin
 24797.9     1.74889E-08  Lin-Lin
 25000       1.8948E-08   Lin-Lin
 25212.3     2.05886E-08  Lin-Lin
 25417.6     2.22863E-08  Lin-Lin
 25549.6     2.34394E-08  Lin-Lin
 25807.3     2.58353E-08  Lin-Lin
 26051.2     2.82896E-08  Lin-Lin
