#LIBRARY    ENDF/B-VIII.0
#REACTION   HE-3(T,N+P)HE-4,SIG
#NUCLEUS    He-3
#MF         3
#MT         28
#EN-MIN     1000
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1000        0            Lin-Lin
 2000        2.7129E-31   Lin-Lin
 4000        8.0819E-22   Lin-Lin
 6000        1.1537E-17   Lin-Lin
 8000        3.3025E-15   Lin-Lin
 10000       1.527E-13    Lin-Lin
 12000       2.5427E-12   Lin-Lin
 14000       2.2349E-11   Lin-Lin
 14966.6     5.42657E-11  Lin-Lin
 15474.7     8.3566E-11   Lin-Lin
 15604.4     9.29783E-11  Lin-Lin
 15702.4     1.00695E-10  Lin-Lin
 15776.2     1.06881E-10  Lin-Lin
 15887.7     1.16848E-10  Lin-Lin
 16000       1.277E-10    Lin-Lin
 16118.2     1.40074E-10  Lin-Lin
 16229.8     1.52711E-10  Lin-Lin
 16335.2     1.65544E-10  Lin-Lin
 16434.6     1.78506E-10  Lin-Lin
 16528.3     1.91535E-10  Lin-Lin
 16658.2     2.10972E-10  Lin-Lin
 16778.3     2.30455E-10  Lin-Lin
 16886.9     2.49405E-10  Lin-Lin
 16987.2     2.68097E-10  Lin-Lin
 17110.6     2.92776E-10  Lin-Lin
 17219.3     3.16137E-10  Lin-Lin
 17359.9     3.48734E-10  Lin-Lin
 17438.6     3.68251E-10  Lin-Lin
 17577.3     4.04941E-10  Lin-Lin
 17721.5     4.46421E-10  Lin-Lin
 17820.5     4.76995E-10  Lin-Lin
 17940       5.16324E-10  Lin-Lin
 18059.4     5.58413E-10  Lin-Lin
 18174.9     6.01959E-10  Lin-Lin
 18284       6.45711E-10  Lin-Lin
 18436.7     7.11644E-10  Lin-Lin
 18575       7.76281E-10  Lin-Lin
 18702.7     8.40481E-10  Lin-Lin
 18855.2     9.23085E-10  Lin-Lin
 18994.7     1.00467E-09  Lin-Lin
 19117.5     1.08165E-09  Lin-Lin
 19276.3     1.1887E-09   Lin-Lin
 19365.3     1.25261E-09  Lin-Lin
 19522.1     1.37238E-09  Lin-Lin
 19685.1     1.50728E-09  Lin-Lin
 19797       1.60639E-09  Lin-Lin
 19932.1     1.73351E-09  Lin-Lin
 20069.9     1.87195E-09  Lin-Lin
 20208.1     2.02035E-09  Lin-Lin
 20342.9     2.17474E-09  Lin-Lin
 20474.4     2.33495E-09  Lin-Lin
 20602.6     2.5008E-09   Lin-Lin
 20789.2     2.76043E-09  Lin-Lin
 20967.9     3.03019E-09  Lin-Lin
 21140.5     3.31213E-09  Lin-Lin
 21305.6     3.60241E-09  Lin-Lin
 21465.1     3.9032E-09   Lin-Lin
 21617.4     4.21041E-09  Lin-Lin
 21764.4     4.5263E-09   Lin-Lin
 21953.8     4.9628E-09   Lin-Lin
 22132.8     5.40803E-09  Lin-Lin
 22301.9     5.85961E-09  Lin-Lin
 22461.7     6.31524E-09  Lin-Lin
 22612.5     6.77273E-09  Lin-Lin
 22824       7.4616E-09   Lin-Lin
 23015.6     8.13632E-09  Lin-Lin
 23192.8     8.80588E-09  Lin-Lin
 23411.3     9.6956E-09   Lin-Lin
 23604.3     1.05433E-08  Lin-Lin
 23774.4     1.1342E-08   Lin-Lin
 23990.1     1.24282E-08  Lin-Lin
 24172.1     1.34121E-08  Lin-Lin
 24376.5     1.45943E-08  Lin-Lin
 24597.4     1.597E-08    Lin-Lin
 24797.9     1.7312E-08   Lin-Lin
 25000       1.876E-08    Lin-Lin
 25212.3     2.039E-08    Lin-Lin
 25417.6     2.20772E-08  Lin-Lin
 25613.7     2.37985E-08  Lin-Lin
 25803.2     2.55667E-08  Lin-Lin
 26047.4     2.80069E-08  Lin-Lin
 26278.4     3.04927E-08  Lin-Lin
 26496.8     3.30106E-08  Lin-Lin
 26703.3     3.55481E-08  Lin-Lin
 26898.3     3.80929E-08  Lin-Lin
 27171.9     4.19194E-08  Lin-Lin
 27420       4.56614E-08  Lin-Lin
 27649.6     4.93694E-08  Lin-Lin
 27933.1     5.42887E-08  Lin-Lin
 28183.4     5.89677E-08  Lin-Lin
 28404.3     6.33703E-08  Lin-Lin
 28684.7     6.9347E-08   Lin-Lin
 28921.4     7.47522E-08  Lin-Lin
 29187.4     8.12363E-08  Lin-Lin
 29475       8.87674E-08  Lin-Lin
 29736.4     9.6101E-08   Lin-Lin
 30000       1.04E-07     Lin-Lin
 30290.4     1.13316E-07  Lin-Lin
 30565.3     1.22756E-07  Lin-Lin
 30825.2     1.3227E-07   Lin-Lin
 31186.7     1.46505E-07  Lin-Lin
 31522.1     1.60816E-07  Lin-Lin
 31826.4     1.74772E-07  Lin-Lin
 32108.2     1.88568E-07  Lin-Lin
 32456.2     2.0682E-07   Lin-Lin
 32763.8     2.24133E-07  Lin-Lin
 33154.8     2.47833E-07  Lin-Lin
 33485.7     2.69447E-07  Lin-Lin
 33858       2.95581E-07  Lin-Lin
 34246.3     3.24995E-07  Lin-Lin
 34675       3.60183E-07  Lin-Lin
 35000       3.8887E-07   Lin-Lin
 35431.7     4.29806E-07  Lin-Lin
 35832.4     4.70862E-07  Lin-Lin
 36196.2     5.10813E-07  Lin-Lin
 36533.2     5.50222E-07  Lin-Lin
 36949.5     6.02251E-07  Lin-Lin
 37317.7     6.5149E-07   Lin-Lin
 37795.6     7.2016E-07   Lin-Lin
 38064.4     7.61251E-07  Lin-Lin
 38539.3     8.38436E-07  Lin-Lin
 39035.3     9.25585E-07  Lin-Lin
 39377.2     9.89738E-07  Lin-Lin
 39791.3     1.07215E-06  Lin-Lin
 40295.5     1.17977E-06  Lin-Lin
 40574.6     1.24291E-06  Lin-Lin
 41103       1.36979E-06  Lin-Lin
 41571.1     1.49053E-06  Lin-Lin
 41985       1.60416E-06  Lin-Lin
 42511.4     1.75844E-06  Lin-Lin
 42957.1     1.89797E-06  Lin-Lin
 43459       2.06532E-06  Lin-Lin
 44003.2     2.25964E-06  Lin-Lin
 44498.8     2.44878E-06  Lin-Lin
 45000       2.6524E-06   Lin-Lin
 45596.6     2.91175E-06  Lin-Lin
 46125.1     3.15759E-06  Lin-Lin
 46798.5     3.49386E-06  Lin-Lin
 47369.7     3.80023E-06  Lin-Lin
 48014       4.17029E-06  Lin-Lin
 48687.6     4.58624E-06  Lin-Lin
 49433.3     5.08308E-06  Lin-Lin
 50000       5.4875E-06   Lin-Lin
 50573       5.92105E-06  Lin-Lin
 51372.8     6.56928E-06  Lin-Lin
 52117.7     7.22038E-06  Lin-Lin
 52795.9     7.85467E-06  Lin-Lin
 53426       8.48089E-06  Lin-Lin
 54206.6     9.30826E-06  Lin-Lin
 54899       1.00917E-05  Lin-Lin
 55800.6     1.11849E-05  Lin-Lin
 56309       1.18391E-05  Lin-Lin
 57209.9     1.30681E-05  Lin-Lin
 58154.1     1.44555E-05  Lin-Lin
 58806.7     1.54765E-05  Lin-Lin
 59599.6     1.67875E-05  Lin-Lin
 60580.9     1.85218E-05  Lin-Lin
 61650.4     2.05584E-05  Lin-Lin
 62637       2.25786E-05  Lin-Lin
 63513.2     2.44909E-05  Lin-Lin
 64655.8     2.71581E-05  Lin-Lin
 65300.8     2.87538E-05  Lin-Lin
 66445.2     3.17498E-05  Lin-Lin
 67646.3     3.51296E-05  Lin-Lin
 68981.4     3.91808E-05  Lin-Lin
 70000       4.2488E-05   Lin-Lin
 71178.2     4.65559E-05  Lin-Lin
 72225.4     5.03965E-05  Lin-Lin
 73564.5     5.56262E-05  Lin-Lin
 74704.3     6.03684E-05  Lin-Lin
 75994.4     6.6069E-05   Lin-Lin
 77401.4     7.27015E-05  Lin-Lin
 78690       7.91678E-05  Lin-Lin
 80000       8.6137E-05   Lin-Lin
 81711.2     9.58577E-05  Lin-Lin
 83171.5     0.000104723  Lin-Lin
 84828.4     0.000115437  Lin-Lin
 86092.8     0.000124092  Lin-Lin
 88024.7     0.000138141  Lin-Lin
 90000       0.00015356   Lin-Lin
 91193.1     0.000163402  Lin-Lin
 93319.3     0.000181952  Lin-Lin
 95563.9     0.000202971  Lin-Lin
 97125.2     0.00021848   Lin-Lin
 99032.4     0.000238436  Lin-Lin
 101146      0.000261863  Lin-Lin
 103330      0.000287548  Lin-Lin
 105280      0.000311769  Lin-Lin
 107837      0.000345396  Lin-Lin
 110757      0.000386444  Lin-Lin
 113851      0.000433053  Lin-Lin
 116010      0.000467495  Lin-Lin
 118655      0.000511859  Lin-Lin
 122335      0.000577531  Lin-Lin
 124415      0.000616706  Lin-Lin
 128140      0.000690614  Lin-Lin
 132099      0.000774424  Lin-Lin
 136558      0.000875307  Lin-Lin
 140000      0.00095789   Lin-Lin
 144752      0.0010784    Lin-Lin
 149823      0.00121538   Lin-Lin
 155556      0.00138058   Lin-Lin
 162373      0.00158825   Lin-Lin
 166611      0.00172308   Lin-Lin
 171274      0.00188026   Lin-Lin
 177043      0.00208792   Lin-Lin
 180000      0.0022002    Lin-Lin
 186639      0.00244668   Lin-Lin
 191305      0.00263038   Lin-Lin
 197059      0.00286912   Lin-Lin
 208516      0.00335853   Lin-Lin
 216103      0.00370347   Lin-Lin
 229782      0.00434837   Lin-Lin
 244851      0.00510309   Lin-Lin
 254849      0.00562174   Lin-Lin
 274860      0.00670087   Lin-Lin
 294870      0.00782326   Lin-Lin
 300000      0.0081221    Lin-Lin
 311787      0.00877444   Lin-Lin
 330341      0.00985249   Lin-Lin
 350000      0.011063     Lin-Lin
 374166      0.0124785    Lin-Lin
 400000      0.014075     Lin-Lin
 436943      0.0162712    Lin-Lin
 450000      0.017077     Lin-Lin
 487002      0.0192384    Lin-Lin
 500000      0.020018     Lin-Lin
 550000      0.022865     Lin-Lin
 600000      0.025597     Lin-Lin
 700000      0.030666     Lin-Lin
 800000      0.035178     Lin-Lin
 900000      0.039131     Lin-Lin
 1E+06       0.042544     Lin-Lin
 1.1E+06     0.04545      Lin-Lin
 1.2E+06     0.04789      Lin-Lin
 1.3E+06     0.049907     Lin-Lin
 1.4E+06     0.051544     Lin-Lin
 1.5E+06     0.052848     Lin-Lin
 1.6E+06     0.053861     Lin-Lin
 1.7E+06     0.054623     Lin-Lin
 1.8E+06     0.055175     Lin-Lin
 1.94936E+06 0.0556634    Lin-Lin
 2.14942E+06 0.0559       Lin-Lin
 2.2E+06     0.05591      Lin-Lin
 2.5E+06     0.055629     Lin-Lin
 3E+06       0.054987     Lin-Lin
 3.5E+06     0.055309     Lin-Lin
 4E+06       0.055981     Lin-Lin
 4.5E+06     0.054486     Lin-Lin
 5.47723E+06 0.0523599    Lin-Lin
 6.48074E+06 0.0504905    Lin-Lin
 7.48332E+06 0.0488803    Lin-Lin
 8.48528E+06 0.0475058    Lin-Lin
 9.48683E+06 0.0463435    Lin-Lin
 1.04881E+07 0.0453698    Lin-Lin
 1.2E+07     0.044197     Lin-Lin
 1.34907E+07 0.0433453    Lin-Lin
 1.54919E+07 0.0425061    Lin-Lin
 2E+07       0.041028     Lin-Lin
#END
