#LIBRARY    ENDF/B-VIII.0
#REACTION   HE-3(D,P`)HE-4-L0,SIG
#NUCLEUS    He-3
#MF         3
#MT         600
#EN-MIN     800
#EN-MAX     1.4e+06
#E,eV        Sig,b        Interpolation
 800         0            Lin-Lin
 900         2.7947E-37   Lin-Lin
 1000        3.0681E-35   Lin-Lin
 2000        3.0401E-24   Lin-Lin
 3000        2.0517E-19   Lin-Lin
 4000        1.4837E-16   Lin-Lin
 5000        1.292E-14    Lin-Lin
 6000        3.4345E-13   Lin-Lin
 7000        4.344E-12    Lin-Lin
 8000        3.3294E-11   Lin-Lin
 8485.28     7.81549E-11  Lin-Lin
 8611.13     9.63374E-11  Lin-Lin
 8658.81     1.04154E-10  Lin-Lin
 8719.15     1.14854E-10  Lin-Lin
 8769.97     1.24616E-10  Lin-Lin
 8826.92     1.36426E-10  Lin-Lin
 8886.04     1.49729E-10  Lin-Lin
 8926.57     1.59506E-10  Lin-Lin
 8975.46     1.72048E-10  Lin-Lin
 9029.68     1.86983E-10  Lin-Lin
 9087.47     2.04158E-10  Lin-Lin
 9141.98     2.2163E-10   Lin-Lin
 9193.38     2.39308E-10  Lin-Lin
 9241.83     2.57106E-10  Lin-Lin
 9287.49     2.74941E-10  Lin-Lin
 9351.37     3.0174E-10   Lin-Lin
 9409.12     3.27929E-10  Lin-Lin
 9462.42     3.53868E-10  Lin-Lin
 9528        3.8827E-10   Lin-Lin
 9585.76     4.20985E-10  Lin-Lin
 9636.59     4.51768E-10  Lin-Lin
 9700.9      4.93562E-10  Lin-Lin
 9755.06     5.31371E-10  Lin-Lin
 9815.72     5.76745E-10  Lin-Lin
 9881.14     6.29477E-10  Lin-Lin
 9940.39     6.80864E-10  Lin-Lin
 10000       7.3626E-10   Lin-Lin
 10059.7     7.95756E-10  Lin-Lin
 10116.1     8.557E-10    Lin-Lin
 10194.2     9.45361E-10  Lin-Lin
 10266.4     1.0355E-09   Lin-Lin
 10331.6     1.12341E-09  Lin-Lin
 10391.9     1.21033E-09  Lin-Lin
 10466       1.32539E-09  Lin-Lin
 10531.3     1.43459E-09  Lin-Lin
 10614       1.58422E-09  Lin-Lin
 10683.8     1.72083E-09  Lin-Lin
 10762       1.88623E-09  Lin-Lin
 10843.2     2.07268E-09  Lin-Lin
 10898.9     2.20978E-09  Lin-Lin
 10966.2     2.38576E-09  Lin-Lin
 11030       2.56374E-09  Lin-Lin
 11116.5     2.82407E-09  Lin-Lin
 11194.8     3.07923E-09  Lin-Lin
 11267.2     3.33262E-09  Lin-Lin
 11353.5     3.6586E-09   Lin-Lin
 11432.3     3.98053E-09  Lin-Lin
 11501.8     4.28427E-09  Lin-Lin
 11591.6     4.7066E-09   Lin-Lin
 11641.9     4.95871E-09  Lin-Lin
 11730.4     5.43123E-09  Lin-Lin
 11822.4     5.96339E-09  Lin-Lin
 11885.5     6.35438E-09  Lin-Lin
 11961.7     6.85589E-09  Lin-Lin
 12060.2     7.5548E-09   Lin-Lin
 12143.5     8.19419E-09  Lin-Lin
 12220.5     8.82601E-09  Lin-Lin
 12315.4     9.66186E-09  Lin-Lin
 12398.9     1.04546E-08  Lin-Lin
 12504.8     1.15401E-08  Lin-Lin
 12594.2     1.25304E-08  Lin-Lin
 12694.4     1.37284E-08  Lin-Lin
 12798.7     1.50777E-08  Lin-Lin
 12870.2     1.60691E-08  Lin-Lin
 12956.6     1.73408E-08  Lin-Lin
 13060.4     1.89827E-08  Lin-Lin
 13170.7     2.08748E-08  Lin-Lin
 13271.6     2.27454E-08  Lin-Lin
 13360.5     2.45121E-08  Lin-Lin
 13475.6     2.69711E-08  Lin-Lin
 13540       2.84402E-08  Lin-Lin
 13653.6     3.11959E-08  Lin-Lin
 13771.7     3.43027E-08  Lin-Lin
 13852.8     3.65871E-08  Lin-Lin
