#LIBRARY    ENDF/B-VIII.0
#REACTION   H-2(D,N`)HE-3-L0,SIG
#NUCLEUS    H-2
#MF         3
#MT         50
#EN-MIN     100
#EN-MAX     1e+07
#E,eV        Sig,b        Interpolation
 100         0            Lin-Lin
 100         0            Lin-Lin
 200         4.07904E-41  Lin-Lin
 400         8.695E-29    Lin-Lin
 800         3.70527E-20  Lin-Lin
 1000        5.5988E-18   Lin-Lin
 2000        1.25945E-12  Lin-Lin
 2378.41     1.4376E-11   Lin-Lin
 2708.51     7.73748E-11  Lin-Lin
 2741.71     9.00611E-11  Lin-Lin
 2757.94     9.68992E-11  Lin-Lin
 2774.01     1.04114E-10  Lin-Lin
 2789.92     1.11715E-10  Lin-Lin
 2805.67     1.19714E-10  Lin-Lin
 2821.26     1.28122E-10  Lin-Lin
 2844.32     1.41501E-10  Lin-Lin
 2867.08     1.55889E-10  Lin-Lin
 2889.43     1.71241E-10  Lin-Lin
 2911.48     1.87667E-10  Lin-Lin
 2933.12     2.05106E-10  Lin-Lin
 2954.47     2.23675E-10  Lin-Lin
 2975.41     2.433E-10    Lin-Lin
 2996.07     2.64101E-10  Lin-Lin
 3016.32     2.85988E-10  Lin-Lin
 3036.29     3.09089E-10  Lin-Lin
 3055.87     3.33297E-10  Lin-Lin
 3075.16     3.58746E-10  Lin-Lin
 3100.53     3.9477E-10   Lin-Lin
 3125.31     4.32939E-10  Lin-Lin
 3149.5      4.73251E-10  Lin-Lin
 3173.12     5.15696E-10  Lin-Lin
 3196.17     5.60256E-10  Lin-Lin
 3218.65     6.06903E-10  Lin-Lin
 3240.59     6.55603E-10  Lin-Lin
 3261.98     7.06312E-10  Lin-Lin
 3282.84     7.58981E-10  Lin-Lin
 3303.17     8.13554E-10  Lin-Lin
 3332.63     8.98612E-10  Lin-Lin
 3361.11     9.88035E-10  Lin-Lin
 3388.35     1.08062E-09  Lin-Lin
 3414.67     1.17707E-09  Lin-Lin
 3439.83     1.27606E-09  Lin-Lin
 3464.11     1.37834E-09  Lin-Lin
 3494.9      1.51808E-09  Lin-Lin
 3524.51     1.66376E-09  Lin-Lin
 3552.5      1.81232E-09  Lin-Lin
 3578.94     1.96296E-09  Lin-Lin
 3603.91     2.11491E-09  Lin-Lin
 3627.47     2.26745E-09  Lin-Lin
 3660.51     2.4971E-09   Lin-Lin
 3690.43     2.72197E-09  Lin-Lin
 3718.11     2.94508E-09  Lin-Lin
 3752.23     3.24148E-09  Lin-Lin
 3782.34     3.52383E-09  Lin-Lin
 3808.88     3.78985E-09  Lin-Lin
 3842.54     4.15151E-09  Lin-Lin
 3870.94     4.47909E-09  Lin-Lin
 3902.81     4.87265E-09  Lin-Lin
 3937.24     5.33054E-09  Lin-Lin
 3968.5      5.77718E-09  Lin-Lin
 4000        6.25906E-09  Lin-Lin
 4032.54     6.7921E-09   Lin-Lin
 4065        7.36163E-09  Lin-Lin
 4097.29     7.96782E-09  Lin-Lin
 4129.51     8.61391E-09  Lin-Lin
 4161.55     9.29991E-09  Lin-Lin
 4193.5      1.00293E-08  Lin-Lin
 4225.28     1.0802E-08   Lin-Lin
 4256.96     1.16217E-08  Lin-Lin
 4299.13     1.27933E-08  Lin-Lin
 4341.05     1.40547E-08  Lin-Lin
 4382.72     1.54103E-08  Lin-Lin
 4424.12     1.68643E-08  Lin-Lin
 4465.26     1.84212E-08  Lin-Lin
 4506.13     2.00852E-08  Lin-Lin
 4546.73     2.18607E-08  Lin-Lin
 4587.05     2.37519E-08  Lin-Lin
 4627.08     2.57632E-08  Lin-Lin
 4666.84     2.78986E-08  Lin-Lin
 4706.31     3.01624E-08  Lin-Lin
 4745.48     3.25586E-08  Lin-Lin
 4784.36     3.50911E-08  Lin-Lin
 4822.95     3.7764E-08   Lin-Lin
 4861.24     4.05809E-08  Lin-Lin
 4899.22     4.35456E-08  Lin-Lin
 4955.7      4.82837E-08  Lin-Lin
 5011.35     5.33606E-08  Lin-Lin
 5066.44     5.88137E-08  Lin-Lin
 5120.69     6.46242E-08  Lin-Lin
 5174.38     7.08316E-08  Lin-Lin
 5227.21     7.74115E-08  Lin-Lin
 5279.47     8.44056E-08  Lin-Lin
 5330.88     9.17833E-08  Lin-Lin
 5381.7      9.95887E-08  Lin-Lin
 5431.68     1.07785E-07  Lin-Lin
 5481.06     1.16418E-07  Lin-Lin
 5513.54     1.22398E-07  Lin-Lin
 5578.05     1.35018E-07  Lin-Lin
 5641.27     1.48393E-07  Lin-Lin
 5703.19     1.6252E-07   Lin-Lin
 5763.82     1.77393E-07  Lin-Lin
 5823.18     1.93003E-07  Lin-Lin
 5881.26     2.09338E-07  Lin-Lin
 5938.08     2.26381E-07  Lin-Lin
 5993.64     2.44116E-07  Lin-Lin
 6047.97     2.62522E-07  Lin-Lin
 6126.96     2.91261E-07  Lin-Lin
 6203.64     3.2153E-07   Lin-Lin
 6277.25     3.52915E-07  Lin-Lin
 6348.63     3.85647E-07  Lin-Lin
 6417.09     4.19275E-07  Lin-Lin
 6483.4      4.54043E-07  Lin-Lin
 6567.78     5.01576E-07  Lin-Lin
 6649.26     5.51145E-07  Lin-Lin
 6726.56     6.01699E-07  Lin-Lin
 6799.85     6.52957E-07  Lin-Lin
 6869.28     7.0465E-07   Lin-Lin
 6935.01     7.56523E-07  Lin-Lin
 7027.51     8.34564E-07  Lin-Lin
 7111.62     9.10912E-07  Lin-Lin
 7189.68     9.86583E-07  Lin-Lin
 7286.3      1.08698E-06  Lin-Lin
 7371.91     1.18246E-06  Lin-Lin
 7481.02     1.31352E-06  Lin-Lin
 7573.58     1.43334E-06  Lin-Lin
 7678        1.57855E-06  Lin-Lin
 7787.2      1.74235E-06  Lin-Lin
 7862.54     1.86283E-06  Lin-Lin
 7953.92     2.01747E-06  Lin-Lin
