#LIBRARY    ENDF/B-VIII.0
#REACTION   H-2(D,P`)H-3-L0,SIG
#NUCLEUS    H-2
#MF         3
#MT         600
#EN-MIN     100
#EN-MAX     1e+07
#E,eV        Sig,b        Interpolation
 100         0            Lin-Lin
 100         0            Lin-Lin
 200         4.21875E-41  Lin-Lin
 400         8.98998E-29  Lin-Lin
 800         3.83011E-20  Lin-Lin
 1000        5.7871E-18   Lin-Lin
 2000        1.29576E-12  Lin-Lin
 2378.41     1.47767E-11  Lin-Lin
 2708.51     7.94797E-11  Lin-Lin
 2741.71     9.25057E-11  Lin-Lin
 2757.94     9.95266E-11  Lin-Lin
 2774.01     1.06934E-10  Lin-Lin
 2789.92     1.14738E-10  Lin-Lin
 2805.67     1.2295E-10   Lin-Lin
 2821.26     1.31581E-10  Lin-Lin
 2844.32     1.45316E-10  Lin-Lin
 2867.08     1.60086E-10  Lin-Lin
 2889.43     1.75845E-10  Lin-Lin
 2911.48     1.92706E-10  Lin-Lin
 2933.12     2.10606E-10  Lin-Lin
 2954.47     2.29666E-10  Lin-Lin
 2975.41     2.49807E-10  Lin-Lin
 2996.07     2.71157E-10  Lin-Lin
 3016.32     2.93619E-10  Lin-Lin
 3036.29     3.17328E-10  Lin-Lin
 3055.87     3.4217E-10   Lin-Lin
 3075.16     3.68286E-10  Lin-Lin
 3100.53     4.05254E-10  Lin-Lin
 3125.31     4.4442E-10   Lin-Lin
 3149.5      4.85784E-10  Lin-Lin
 3173.12     5.29336E-10  Lin-Lin
 3196.17     5.75055E-10  Lin-Lin
 3218.65     6.22915E-10  Lin-Lin
 3240.59     6.7288E-10   Lin-Lin
 3261.98     7.24905E-10  Lin-Lin
 3282.84     7.78939E-10  Lin-Lin
 3303.17     8.34924E-10  Lin-Lin
 3332.63     9.2218E-10   Lin-Lin
 3361.11     1.01391E-09  Lin-Lin
 3388.35     1.10888E-09  Lin-Lin
 3414.67     1.20781E-09  Lin-Lin
 3439.83     1.30935E-09  Lin-Lin
 3464.11     1.41425E-09  Lin-Lin
 3494.9      1.55758E-09  Lin-Lin
 3524.51     1.70699E-09  Lin-Lin
 3552.5      1.85934E-09  Lin-Lin
 3578.94     2.01383E-09  Lin-Lin
 3603.91     2.16965E-09  Lin-Lin
 3627.47     2.32608E-09  Lin-Lin
 3660.51     2.56156E-09  Lin-Lin
 3690.43     2.79215E-09  Lin-Lin
 3718.11     3.02092E-09  Lin-Lin
 3752.23     3.32483E-09  Lin-Lin
 3782.34     3.61432E-09  Lin-Lin
 3808.88     3.88706E-09  Lin-Lin
 3842.54     4.25785E-09  Lin-Lin
 3870.94     4.59368E-09  Lin-Lin
 3902.81     4.99714E-09  Lin-Lin
 3937.24     5.46653E-09  Lin-Lin
 3968.5      5.92438E-09  Lin-Lin
 4000        6.41834E-09  Lin-Lin
 4032.54     6.96472E-09  Lin-Lin
 4065        7.54849E-09  Lin-Lin
 4097.29     8.16981E-09  Lin-Lin
 4129.51     8.83201E-09  Lin-Lin
 4161.55     9.53509E-09  Lin-Lin
 4193.5      1.02827E-08  Lin-Lin
 4225.28     1.10745E-08  Lin-Lin
 4256.96     1.19145E-08  Lin-Lin
 4299.13     1.31151E-08  Lin-Lin
 4341.05     1.44078E-08  Lin-Lin
 4382.72     1.57968E-08  Lin-Lin
 4424.12     1.72867E-08  Lin-Lin
 4465.26     1.8882E-08   Lin-Lin
 4506.13     2.05869E-08  Lin-Lin
 4546.73     2.2406E-08   Lin-Lin
 4587.05     2.43436E-08  Lin-Lin
 4627.08     2.6404E-08   Lin-Lin
 4666.84     2.85917E-08  Lin-Lin
 4706.31     3.09108E-08  Lin-Lin
 4745.48     3.33654E-08  Lin-Lin
 4784.36     3.59597E-08  Lin-Lin
 4822.95     3.86975E-08  Lin-Lin
 4861.24     4.15829E-08  Lin-Lin
 4899.22     4.46195E-08  Lin-Lin
 4955.7      4.94724E-08  Lin-Lin
 5011.35     5.46722E-08  Lin-Lin
 5066.44     6.0257E-08   Lin-Lin
 5120.69     6.62076E-08  Lin-Lin
 5174.38     7.25644E-08  Lin-Lin
 5227.21     7.93025E-08  Lin-Lin
 5279.47     8.64644E-08  Lin-Lin
 5330.88     9.4019E-08   Lin-Lin
 5381.7      1.02011E-07  Lin-Lin
 5431.68     1.10403E-07  Lin-Lin
 5481.06     1.19243E-07  Lin-Lin
 5513.54     1.25365E-07  Lin-Lin
 5578.05     1.38285E-07  Lin-Lin
 5641.27     1.51978E-07  Lin-Lin
 5703.19     1.66441E-07  Lin-Lin
 5763.82     1.81666E-07  Lin-Lin
 5823.18     1.97646E-07  Lin-Lin
 5881.26     2.14366E-07  Lin-Lin
 5938.08     2.31811E-07  Lin-Lin
 5993.64     2.49964E-07  Lin-Lin
 6047.97     2.68803E-07  Lin-Lin
 6126.96     2.98217E-07  Lin-Lin
 6203.64     3.29196E-07  Lin-Lin
 6277.25     3.61316E-07  Lin-Lin
 6348.63     3.94813E-07  Lin-Lin
 6417.09     4.29226E-07  Lin-Lin
 6483.4      4.64805E-07  Lin-Lin
 6567.78     5.13443E-07  Lin-Lin
 6649.26     5.64164E-07  Lin-Lin
 6726.56     6.1589E-07   Lin-Lin
 6799.85     6.68334E-07  Lin-Lin
 6869.28     7.21222E-07  Lin-Lin
 6935.01     7.74293E-07  Lin-Lin
 7027.51     8.54133E-07  Lin-Lin
 7111.62     9.32238E-07  Lin-Lin
 7189.68     1.00965E-06  Lin-Lin
 7286.3      1.11235E-06  Lin-Lin
 7371.91     1.21002E-06  Lin-Lin
 7481.02     1.34407E-06  Lin-Lin
 7573.58     1.46663E-06  Lin-Lin
 7678        1.61515E-06  Lin-Lin
 7787.2      1.78267E-06  Lin-Lin
 7862.54     1.90589E-06  Lin-Lin
 7953.92     2.06403E-06  Lin-Lin
